file_name.x,package,version.x,file_name.y,version.y
masscleaner_1.0.7.tar.gz,masscleaner,1.0.7,masscleaner_1.0.11.tar.gz,1.0.11
massconverter_1.0.3.tar.gz,massconverter,1.0.3,massconverter_1.0.3.tar.gz,1.0.3
massdatabase_1.0.7.tar.gz,massdatabase,1.0.7,massdatabase_1.0.7.tar.gz,1.0.7
massdataset_1.0.21.tar.gz,massdataset,1.0.21,massdataset_1.0.24.tar.gz,1.0.24
massprocesser_1.0.6.tar.gz,massprocesser,1.0.6,massprocesser_1.0.10.tar.gz,1.0.10
massqc_1.0.5.tar.gz,massqc,1.0.5,massqc_1.0.6.tar.gz,1.0.6
massstat_1.0.3.tar.gz,massstat,1.0.3,massstat_1.0.4.tar.gz,1.0.4
masstools_1.0.8.tar.gz,masstools,1.0.8,masstools_1.0.10.tar.gz,1.0.10
metid_1.2.25.tar.gz,metid,1.2.25,metid_1.2.28.tar.gz,1.2.28
metpath_1.0.6.tar.gz,metpath,1.0.6,metpath_1.0.7.tar.gz,1.0.7
tidymass_1.0.8.tar.gz,tidymass,1.0.8,tidymass_1.0.8.tar.gz,1.0.8
